"sentimen","score","text"
"Positif",0," malu ngaku berdaulat merdekaharga kebutuhan bbm gara perang rusiakenapa harga negri dipengaruhi faktor negriterus ngakunya berdaulatberdaulatnya dimana"
"Negatif",-3,"sobat bumnmenteri bumn erick thohir harga bahan bakar minyak bbm pertamax kenaikan dipicu melonjaknya harga minyak mentah dunia tembus barel "
"Negatif",-2,"muslimahnews malang nasib rakyat cadangan minyak bbm mahal dampak sistem buatan manusia sda melimpah dinikmati segelintir orang rakyat pemilik sda dibiarkan merana"
"Negatif",-1,"ppn jd bbm gas dinaikan serempak april efek dominonya barang kebutuhan pokok drastis kecuali beras harga lamasy mengerti pemerintah menunda tdk berdaya kewenangan "
"Positif",0," harga bbm ron malaysia rm x rp liter catatan bbm pertamax harganya kemarin ron harga lpg kg malaysia rm x rp "
"Positif",0," assalamualaikum wr wb mentriyang mengalami kenaikan harga bbm pertamaxtapi pertalite naikmohon solusi mentri"
"Negatif",-3,"mobil mewah pilih isi bbm sihni ye truk pengangkut barang gk pakai yg subsidi ntar bahan karna biaya operasional gk ya naikan harga jual bahan ntah bahan pokok yg "
"Negatif",-1,"ppn jd bbm gas dinaikan serempak april efek dominonya barang kebutuhan pokok drastis kecuali beras harga lamasy mengerti pemerintah menunda tdk berdaya kewenangan "
"Positif",2,"harga bbm pertamax gaji direksi pegawai pertamina april selamat menikmati kesenangan diatas penderitaan rakyatmiris "
"Negatif",-3,"mobil mewah pilih isi bbm sihni ye truk pengangkut barang gk pakai yg subsidi ntar bahan karna biaya operasional gk ya naikan harga jual bahan ntah bahan pokok yg "
"Positif",0," harga bbm pertamax gaji tgupp tersentuhpake mobil mewah warga sbgian bnyak yg tdk mck yg kesulitan air bersihselamat menikmati kesenangan diatas penderitaan warga miris "
"Negatif",-1," hahahaajejak digital si anak mamihmarahin tuh jokowi kalo nangis harga bbm "
"Positif",0," pengemudi ojek online mengeluhkan harga bbm menyebut pertalite sulit pertamax harganya otomatis memangkas pendapatan "
